1,3,1.0
1,5,4.5
1,34,4.0
1,62,2.0
1,77,2.0
1,79,2.0
1,102,3.0
1,108,0.0
1,139,0.0
1,196,1.0
1,201,4.5
1,223,4.0
1,226,3.0
1,230,0.5
1,280,2.5
1,298,0.5
1,310,3.5
1,320,0.0
1,330,3.5
1,339,3.0
1,355,3.5
1,357,1.5
1,365,0.0
1,366,0.0
1,371,4.5
1,385,0.5
1,406,0.5
1,427,3.5
1,490,2.0
2,101,1.5
2,102,2.5
2,321,1.0
2,404,4.5
2,482,0.5
3,1,1.5
3,29,2.0
3,32,2.5
3,40,2.5
3,48,4.5
3,68,1.5
3,75,2.5
3,80,3.0
3,83,0.0
3,84,2.0
3,86,1.0
3,98,1.5
3,99,4.0
3,100,4.0
3,101,3.0
3,103,1.0
3,119,0.0
3,121,0.5
3,122,3.0
3,125,3.5
3,126,3.0
3,127,4.0
3,128,4.5
3,136,2.0
3,138,2.0
3,139,4.0
3,141,0.0
3,143,0.5
3,146,2.0
3,155,4.5
3,168,0.5
3,170,3.5
3,172,4.0
3,178,2.5
3,181,0.5
3,184,2.0
3,186,1.0
3,190,3.5
3,196,0.0
3,209,0.0
3,222,4.0
3,226,1.0
3,230,0.5
3,236,1.5
3,237,2.0
3,238,2.0
3,243,3.0
3,244,4.0
3,246,1.0
3,250,2.0
3,254,3.5
3,258,0.5
3,261,4.0
3,267,1.0
3,273,0.0
3,288,2.0
3,304,3.5
3,316,3.5
3,324,2.0
3,327,3.0
3,329,4.0
3,333,3.0
3,339,0.5
3,348,4.5
3,350,4.5
3,354,3.5
3,356,2.0
3,365,2.5
3,370,4.0
3,383,1.5
3,391,3.5
3,399,2.5
3,409,1.5
3,415,1.5
3,417,0.5
3,420,3.5
3,433,0.5
3,454,1.0
3,455,3.5
3,458,2.0
3,469,4.0
3,470,3.5
3,472,3.5
3,473,3.0
3,487,0.0
3,491,3.5
3,492,3.5
3,497,0.5
4,37,0.5
4,69,4.5
4,153,2.0
4,221,4.5
4,227,3.0
4,242,3.0
4,256,1.5
4,270,0.0
4,357,0.0
4,478,3.0
5,1,0.5
5,6,0.0
5,34,0.5
5,89,1.0
5,94,1.5
5,112,3.0
5,113,0.0
5,155,4.0
5,183,0.5
5,207,2.5
5,228,1.5
5,239,4.5
5,240,3.0
5,241,1.0
5,333,2.5
5,345,4.0
5,347,1.5
5,383,3.0
5,387,1.0
5,389,0.5
5,456,1.5
5,466,0.0
5,476,0.0
5,478,1.0
5,481,3.0
5,495,4.0
5,498,1.5
